"","votemail1a","votemail1b","votecount","vote20jb"
"311",7,77,1,1
"312",1,77,2,2
"313",7,77,3,1
"314",4,77,3,3
"315",1,77,4,2
"316",1,77,5,2
"317",1,77,4,2
"318",3,77,4,2
"319",5,77,2,1
"320",4,77,3,1
"321",2,77,4,2
"322",2,77,3,2
"323",4,77,5,1
"324",2,77,3,1
"325",1,77,3,3
"326",1,77,5,1
"327",1,77,3,3
"328",1,77,5,1
"329",2,77,2,2
"330",1,77,4,3
"331",1,77,4,2
"332",7,77,4,1
"333",7,77,4,1
"334",1,77,4,1
"335",3,77,5,3
"336",3,77,4,3
"337",1,77,4,1
"338",7,77,2,1
"339",1,77,4,3
"340",1,77,4,2
"341",1,77,1,3
"342",7,77,3,1
"343",1,77,5,2
"344",4,77,3,3
"345",2,77,2,2
"346",1,77,5,1
"347",1,77,4,2
"348",3,77,3,1
"349",4,77,3,1
"350",2,77,3,3
"351",4,77,3,2
"352",7,77,3,1
"353",1,77,4,1
"354",7,77,5,1
"355",2,77,3,2
"356",1,77,4,2
"357",1,77,2,2
"358",1,77,4,2
"359",7,77,2,2
"360",4,77,4,2
"361",3,77,3,2
"362",7,77,3,1
"363",7,77,3,1
"364",7,77,3,1
"365",1,77,1,2
"366",1,77,3,1
"367",1,77,2,2
"368",4,77,3,1
"369",7,77,3,1
"370",1,77,3,2
"371",4,77,4,1
"372",1,77,5,2
"373",1,77,4,4
"374",6,77,2,2
"375",2,77,4,1
"376",7,77,5,1
"377",2,77,3,3
"378",2,77,2,2
"379",2,77,3,2
"380",3,77,3,2
"381",1,77,1,1
"382",1,77,5,2
"383",2,77,3,2
"384",2,77,4,2
"385",1,77,5,2
"386",7,77,3,1
"387",2,77,4,2
"388",2,77,2,3
"389",2,77,3,2
"390",1,77,5,1
"391",3,77,3,2
"392",1,77,3,2
"393",4,77,4,1
"394",3,77,3,3
"395",1,77,3,1
"396",4,77,2,2
"397",2,77,1,3
"398",7,77,3,1
"399",1,77,3,2
"400",7,77,1,4
"401",2,77,4,1
"402",1,77,3,4
"403",1,77,4,1
"404",1,77,4,2
"405",2,77,3,1
"406",1,77,5,1
